식품명,식품기원명,대표식품코드,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처명,식품중량,업체명,데이터생성일자,데이터기준일자
무국_소고기,가정식(분석 함량),5219,100g,15,96.3,1.33,0.64,0.67,1.1,0,0.7,6,0.11,17,103,166,0,0,0,0,0.03,0.865,0,0,3.89,0.09,0.01,식품의약품안전처,400g,해당없음,2019-12-31,2023-08-31
무국_홍합,가정식(분석 함량),5219,100g,25,95.4,0.79,2.03,0.91,0.86,0.24,0.8,17,0.22,17,113,233,6,0,75,0,0.029,1.163,1.69,0,2.3,0.01,0,식품의약품안전처,350g,해당없음,2017-12-31,2023-08-31
묵국_메밀묵,가정식(분석 함량),5220,100g,22,94.3,1,0.4,0.77,3.57,0.28,0.8,10,0.26,19,76,238,3,0,41,0.203,0.023,0,0,0,0,0.03,0,식품의약품안전처,400g,해당없음,2017-12-31,2023-08-31
미역국,가정식(분석 함량),5223,100g,12,97.2,0.65,0.61,0.66,0.87,0.27,0.4,19,0.27,14,81,168,5,0,59,0.023,0.038,0,0,0,0,0.05,0,식품의약품안전처,400g,해당없음,2019-12-31,2023-08-31
미역국_대합,가정식(분석 함량),5223,100g,11,96,1.23,0.45,1.78,0.56,0.01,0.8,37,5.17,233,365,232,2,0,23,0.035,0.018,0,0.52,0,3.59,0.16,0.01,식품의약품안전처,400g,해당없음,2017-12-31,2023-08-31
미역국_새우,가정식(분석 함량),5223,100g,16,96.5,1.09,0.46,0.1,1.83,0,0.7,9,0.39,23,19,5,2,0,23,0,0.005,0.223,1.05,0,11.31,0.03,0,식품의약품안전처,400g,해당없음,2017-12-31,2023-08-31
미역국_소고기,가정식(분석 함량),5223,100g,13,96.5,1.86,0.26,0.54,0.82,0.52,0.6,18,0.43,19,36,196,3,0,34,0,0.035,0.243,0,0,4.24,0.04,0,식품의약품안전처,400g,해당없음,2019-12-31,2023-08-31
배추국_소고기,가정식(분석 함량),5225,100g,16,95.7,1.84,0.41,0.87,1.14,0,0.5,14,0.21,26,84,248,1,0,6,0,0.053,0.225,0,0,5.58,0.09,0.01,식품의약품안전처,400g,해당없음,2019-12-31,2023-08-31
북어국,가정식(분석 함량),5226,100g,28,93.5,3.89,0.98,0.83,0.84,0.12,1.1,15,0.25,27,111,232,2,2,6,0.453,0.045,0.453,0.23,0,21.61,0.17,0,식품의약품안전처,400g,해당없음,2019-12-31,2023-08-31
사골국,가정식(분석 함량),5227,100g,55,88.9,5.56,2.42,0.32,2.81,0,0.8,4,0.52,28,46,75,2,1,9,0.018,0.038,5.23,0.07,0,19.12,0.94,0.08,식품의약품안전처,400g,해당없음,2017-12-31,2023-08-31
삼계탕,가정식(분석 함량),5228,100g,101,80,10.68,4.8,0.66,3.84,0.45,1.6,14,0.43,105,156,82,8,8,0,0.452,0.083,0,0,0,48.19,1.29,0.03,식품의약품안전처,900g,해당없음,2018-12-31,2023-08-31
새우탕,가정식(분석 함량),5229,100g,33,91.1,5.17,0.44,1.33,2,0.06,1.4,30,0.47,56,186,268,7,0,78,0.046,0.11,0,2.12,0,32.73,0.09,0,식품의약품안전처,500g,해당없음,2017-12-31,2023-08-31
설렁탕,가정식(분석 함량),5231,100g,24,94.7,4.26,0.58,0.13,0.36,0,1,7,0.28,17,23,22,0,0,0,0,0.03,0.102,2.51,0,6.97,0.23,0.02,식품의약품안전처,500g,해당없음,2018-12-31,2023-08-31
순대국,가정식(분석 함량),5234,100g,85,79.9,2.35,1.75,1.09,14.95,0.26,2.1,15,1.31,32,65,330,11,0,128,0.21,0.023,0.205,7.57,0,9.67,0.5,0.01,식품의약품안전처,600g,해당없음,2018-12-31,2023-08-31
굴국_무,가정식(분석 함량),5204,100g,25,93.4,2.41,0.36,0.93,2.93,0.14,0.7,20,0.75,42,107,251,5,5,0,0.036,0.11,0,32.07,0,8.78,0.09,0,식품의약품안전처,500g,해당없음,2017-12-31,2023-08-31
김치국,가정식(분석 함량),5205,100g,23,94.4,1.34,0.76,0.83,2.63,0.03,0.7,12,0.15,30,105,208,1,0,13,0,0.07,0.238,0.44,0,4.78,0.19,0,식품의약품안전처,400g,해당없음,2019-12-31,2023-08-31
김치국_콩나물,가정식(분석 함량),5205,100g,12,96.8,0.82,0.47,0.8,1.15,0.49,0.6,10,0.16,20,125,230,3,0,32,0.75,0.04,0.97,0.35,0,0.6,0.09,0,식품의약품안전처,400g,해당없음,2019-12-31,2023-08-31
내장탕,가정식(분석 함량),5208,100g,71,87.2,5.82,4.52,0.78,1.68,0.05,1.9,10,1.05,51,78,216,27,1,314,0.088,0.073,0,7.66,0,63.89,1.78,0.01,식품의약품안전처,600g,해당없음,2018-12-31,2023-08-31
냉국_미역,가정식(분석 함량),5209,100g,37,90.8,0.19,0.67,0.88,7.51,4.49,0.4,24,0.65,55,116,148,0,0,0,0,0.003,0.026,0.21,0,0,0.01,0,식품의약품안전처,350g,해당없음,2017-12-31,2023-08-31
냉국_미역_오이,가정식(분석 함량),5209,100g,6,97.7,0.37,0.15,0.94,0.85,0.69,0.7,13,0.14,7,30,327,3,0,38,0.097,0.006,0.034,0,0,0,0.01,0,식품의약품안전처,350g,해당없음,2019-12-31,2023-08-31
달걀국,가정식(분석 함량),5210,100g,13,97,0.93,0.74,0.64,0.69,0,0.2,5,0.2,20,19,246,0,0,0,0,0.033,0,0,0,31.11,0.27,0,식품의약품안전처,400g,해당없음,2019-12-31,2023-08-31
달걀탕_순두부,가정식(분석 함량),5211,100g,29,94.7,1.78,2.04,0.56,0.94,0,0.8,13,0.37,35,108,101,13,8,64,0.249,0.08,0.246,0.47,0,34.05,0.37,0,식품의약품안전처,350g,해당없음,2017-12-31,2023-08-31
닭곰탕,가정식(분석 함량),5213,100g,51,88.2,7.51,1.42,0.88,2,0.3,0.7,9,0.29,91,156,170,2,2,6,0.048,0.118,3.071,0.04,0,36.02,0.3,0,식품의약품안전처,650g,해당없음,2019-12-31,2023-08-31
도가니탕,가정식(분석 함량),5215,100g,40,90,8.35,0.33,0.48,0.82,0,1.3,8,1.89,13,29,150,0,0,0,0.192,0.01,0.106,3.19,0,18.34,0.13,0.01,식품의약품안전처,500g,해당없음,2018-12-31,2023-08-31
된장국_감자,가정식(분석 함량),5216,100g,25,93.4,1.09,0.6,1.24,3.7,0.77,0.6,18,0.52,47,132,357,0,0,0,0.208,0.01,2.263,0,0,0,0.05,0,식품의약품안전처,400g,해당없음,2017-12-31,2023-08-31
된장국_냉이,가정식(분석 함량),5216,100g,22,94.6,1.71,0.66,0.84,2.2,0.3,1.3,32,0.75,32,100,236,15,0,183,0.005,0.06,3.85,0,0,0,0.09,0,식품의약품안전처,400g,해당없음,2017-12-31,2023-08-31
된장국_미역,가정식(분석 함량),5216,100g,24,94.1,1.56,0.97,1.12,2.28,0.61,2.7,20,0.89,26,137,305,2,0,29,0.038,0.053,0,0.36,0,0,0.07,0,식품의약품안전처,400g,해당없음,2017-12-31,2023-08-31
된장국_배추,가정식(분석 함량),5216,100g,20,94.7,1.46,0.4,0.85,2.58,0,0.6,12,0.25,24,95,223,1,0,12,0,0.048,0.58,0,0,3.07,0.06,0,식품의약품안전처,400g,해당없음,2019-12-31,2023-08-31
된장국_시금치,가정식(분석 함량),5216,100g,9,96.8,1.02,0.17,1.05,0.98,0.11,0.4,15,0.29,21,181,124,18,0,214,0.175,0.138,0.595,0.18,0,0.64,0.03,0,식품의약품안전처,400g,해당없음,2019-12-31,2023-08-31
된장국_시래기,가정식(분석 함량),5216,100g,15,95.7,1.31,0.22,0.74,2.03,0,1.9,36,0.9,18,36,195,2,0,30,0.373,0.038,0.198,0,0,0.91,0.03,0,식품의약품안전처,400g,해당없음,2019-12-31,2023-08-31
된장국_쑥,가정식(분석 함량),5216,100g,15,95.8,1.22,0.47,0.96,1.52,0.73,0.8,10,0.21,25,148,243,20,0,238,0.095,0.06,1.72,0.16,0,0.21,0.06,0,식품의약품안전처,400g,해당없음,2019-12-31,2023-08-31
된장국_아욱,가정식(분석 함량),5216,100g,20,94.4,2.28,0.56,1.18,1.59,0.11,1.2,114,0.89,37,122,236,19,0,226,0,0.43,0,0.18,0,10.22,0.08,0,식품의약품안전처,400g,해당없음,2019-12-31,2023-08-31
된장국_얼갈이배추,가정식(분석 함량),5216,100g,9,97.3,0.5,0.41,0.96,0.85,0.06,0.5,26,0.28,13,136,195,19,0,231,0,0.083,0.14,0.3,0,0,0.02,0,식품의약품안전처,400g,해당없음,2017-12-31,2023-08-31
월남쌈,가정식(분석 함량),3167,100g,118,76.1,5.94,4.97,0.75,12.25,5.5,1.8,19,0.39,105,145,230,17,1,189,0.18,0.06,0,0,0,31.58,2.13,0.02,식품의약품안전처,250g,해당없음,2017-12-31,2023-08-31
자장면,가정식(분석 함량),3168,100g,88,79.8,2.69,2.22,0.96,14.37,6.07,1.4,12,0.07,29,63,307,1,0,13,0.178,0.03,0.758,4.21,0,2.05,0.38,0.01,식품의약품안전처,600g,해당없음,2018-12-31,2023-08-31
짬뽕,가정식(분석 함량),3172,100g,58,86.7,2.79,1.54,0.72,8.26,1.57,1.6,12,0.06,36,80,181,17,1,199,0.119,0.08,0,7.81,0,10.52,0.25,0.01,식품의약품안전처,800g,해당없음,2018-12-31,2023-08-31
쫄면,가정식(분석 함량),3173,100g,129,70,3.21,2.52,0.99,23.26,3.51,1.6,23,0.34,43,130,250,68,0,816,0.053,0.035,0.26,2.03,0,0,0.22,0,식품의약품안전처,550g,해당없음,2018-12-31,2023-08-31
칼국수,가정식(분석 함량),3174,100g,77,80.5,3.3,0.49,0.76,14.9,0,1.6,7,0.36,38,87,220,5,3,27,0.033,0.037,1.379,0,0,17.14,0.2,0,식품의약품안전처,700g,해당없음,2017-12-31,2023-08-31
칼국수_바지락,가정식(분석 함량),3174,100g,82,79.2,3.43,0.53,0.87,15.97,0.18,0.3,13,0.61,22,51,272,1,0,11,0,0.03,0,1.92,0,0.33,0.11,0,식품의약품안전처,700g,해당없음,2018-12-31,2023-08-31
콩국수,가정식(분석 함량),3175,100g,81,83.3,3.9,3.35,0.5,8.92,0.24,1.9,22,0.6,45,109,67,1,0,15,0.16,0.011,0,1.36,0,0,0.17,0,식품의약품안전처,800g,해당없음,2018-12-31,2023-08-31
닭죽,가정식(분석 함량),4181,100g,44,89.2,2.68,0.57,0.44,7.14,0,0.1,4,0.11,28,41,117,1,1,0,0.07,0.043,2.868,0,0,7.45,0.33,0.01,식품의약품안전처,400g,해당없음,2019-12-31,2023-08-31
스프_양송이버섯,가정식(분석 함량),4185,100g,105,81.6,2.41,7.04,0.93,8.06,2.52,1.6,41,0.14,79,224,170,77,77,9,0.06,0.23,0.22,0,0,17.01,3.93,0.1,식품의약품안전처,100g,해당없음,2019-12-31,2023-08-31
오리죽,가정식(분석 함량),4188,100g,155,67.1,7.5,4.99,0.42,19.95,0,1.7,11,0.8,67,85,62,13,13,0,0.09,0.105,5.74,0.11,0,36.07,1.16,0.02,식품의약품안전처,400g,해당없음,2017-12-31,2023-08-31
전복죽,가정식(분석 함량),4191,100g,79,84.4,1.82,3.73,0.46,9.62,0,1.6,2,0.13,14,20,158,0,0,0,0,0.028,0.173,4.21,0,8.62,0.19,0,식품의약품안전처,400g,해당없음,2018-12-31,2023-08-31
채소죽,가정식(분석 함량),4194,100g,43,89.1,1.69,0.69,0.86,7.62,0.17,1.5,9,0.2,19,172,224,4,0,54,0.163,0.123,1.28,0.59,0,0,0.18,0,식품의약품안전처,400g,해당없음,2019-12-31,2023-08-31
팥죽,가정식(분석 함량),4195,100g,81,79.3,3.17,0.19,0.69,16.66,0.02,2.1,10,1.13,42,114,127,0,0,0,0.465,0.023,0.045,5.36,0,0,0.07,0,식품의약품안전처,400g,해당없음,2018-12-31,2023-08-31
호박죽,가정식(분석 함량),4197,100g,49,89,1.93,1.71,0.76,6.58,3.56,2.6,11,0.26,45,335,42,38,0,459,0.128,0.058,0.483,1.59,0,0,0.04,0,식품의약품안전처,400g,해당없음,2018-12-31,2023-08-31
흑임자죽,가정식(분석 함량),4198,100g,61,89.9,1.1,4.73,0.6,3.64,0.75,0.7,35,0.36,24,21,159,0,0,0,0,0.028,0.175,0,0,0,0.28,0.09,식품의약품안전처,400g,해당없음,2018-12-31,2023-08-31
갈비탕,가정식(분석 함량),5199,100g,54,88.2,8.51,2.06,0.79,0.4,0.11,1.9,14,1.06,49,106,199,2,0,19,0,0.09,0,0,0,31.46,0.79,0.06,식품의약품안전처,670g,해당없음,2018-12-31,2023-08-31
감자국,가정식(분석 함량),5200,100g,21,94.4,0.9,0.26,0.8,3.67,0.85,0.7,5,0.12,22,122,215,0,0,0,0.708,0.023,0.485,0.63,0,0,0.03,0,식품의약품안전처,400g,해당없음,2019-12-31,2023-08-31
곰탕,가정식(분석 함량),5203,100g,24,94.9,3.43,1.12,0.43,0.11,0,1.1,7,0.45,17,35,124,1,0,14,0.05,0.032,0.823,2.75,0,9.04,0.41,0.05,식품의약품안전처,600g,해당없음,2018-12-31,2023-08-31
곰탕_우거지,가정식(분석 함량),5203,100g,25,93.6,2.37,0.6,0.84,2.6,0.33,1.1,17,0.38,28,71,225,19,0,224,0.097,0.037,0,0,0,1.71,0.14,0,식품의약품안전처,350g,해당없음,2017-12-31,2023-08-31
국수_쟁반막국수,가정식(분석 함량),3142,100g,119,74,6.68,4.56,1.94,12.81,8.12,4.5,26,1,100,245,513,34,1,393,0,0.071,2.464,0.93,0,18.97,0.88,0.04,식품의약품안전처,450g,해당없음,2017-12-31,2023-08-31
냉면_물냉면,가정식(분석 함량),3144,100g,55,86.5,1.96,0.64,0.58,10.31,4.52,0.3,7,0.28,25,49,161,2,2,2,0.006,0.031,0.037,0,0,15.35,0.16,0,식품의약품안전처,700g,해당없음,2018-12-31,2023-08-31
냉면_비빔냉면,가정식(분석 함량),3144,100g,100,77.4,5.67,2.64,0.93,13.35,4.02,1.5,23,0.49,62,167,177,7,3,45,0.078,0.096,0.128,3.22,0,47.34,0.54,0.01,식품의약품안전처,500g,해당없음,2018-12-31,2023-08-31
냉면_회냉면_홍어,가정식(분석 함량),3144,100g,148,67.1,5.81,4.02,0.82,22.21,2.84,2.6,53,1.01,73,161,99,8,0,93,0.336,0.052,0,3.19,0,8.88,0.27,0,식품의약품안전처,500g,해당없음,2018-12-31,2023-08-31
떡국,가정식(분석 함량),3145,100g,84,79,3.43,0.53,0.65,16.37,0.08,0.8,4,0.37,34,51,176,0,0,0,0,0.033,0.333,2.25,0,16.7,0.24,0,식품의약품안전처,700g,해당없음,2018-12-31,2023-08-31
떡만두국,가정식(분석 함량),3146,100g,111,76.3,3.53,3.91,0.76,15.47,0.01,1.8,15,0.56,37,91,206,0,0,0,0.075,0.027,0.312,0,0,11.33,0.57,0.02,식품의약품안전처,600g,해당없음,2018-12-31,2023-08-31
라면,가정식(분석 함량),3148,100g,82,81.5,1.72,2.28,0.9,13.65,0,1,33,0.07,20,57,283,3,0,35,0,0.378,0.311,0,0,0,0.82,0.01,식품의약품안전처,550g,해당없음,2019-12-31,2023-08-31
라면_달걀,가정식(분석 함량),3148,100g,108,76.3,2.61,3.18,0.54,17.33,0.18,0.8,15,0.27,16,11,183,4,0,44,0.038,0.289,0.062,0,0,28.5,1.35,0.02,식품의약품안전처,550g,해당없음,2017-12-31,2023-08-31
라면_떡,가정식(분석 함량),3148,100g,96,78.9,2.04,2.92,0.86,15.27,0,0.8,33,0.05,21,53,270,2,0,30,0.051,0.285,0.387,0,0,0,1,0.01,식품의약품안전처,550g,해당없음,2019-12-31,2023-08-31
만두_고기만두,가정식(분석 함량),3150,100g,159,64.8,12.38,4.45,1.02,17.4,0.16,2.3,20,1.03,117,186,206,6,0,74,0.341,0.091,0.295,0,0,19.91,0.61,0.02,식품의약품안전처,220g,해당없음,2018-12-31,2023-08-31
만두_군만두,가정식(분석 함량),3150,100g,234,54.4,7.03,11.5,1.52,25.57,2.77,3.5,41,0.82,90,214,385,16,1,188,0,0.064,10.768,4.7,0,9.49,3.28,0.06,식품의약품안전처,220g,해당없음,2018-12-31,2023-08-31
만두_김치만두,가정식(분석 함량),3150,100g,152,66.4,10.24,4.76,1.6,17.02,0.35,2.1,18,0.83,93,221,393,6,0,68,0.509,0.086,0.768,0,0,23.27,0.1,0,식품의약품안전처,220g,해당없음,2018-12-31,2023-08-31
만두_물만두,가정식(분석 함량),3150,100g,195,64,8.06,11.13,1.24,15.61,2.13,3.1,31,0.58,102,173,332,32,0,379,0.87,0.087,0,4.73,0,12.13,3.08,0.05,식품의약품안전처,230g,해당없음,2018-12-31,2023-08-31
만두국_사골,가정식(분석 함량),3151,100g,87,82.2,3.74,4,1.1,8.94,0.06,1.1,14,0.67,34,68,333,6,0,67,0.231,0.053,0.121,4.34,0,26.25,1.71,0.06,식품의약품안전처,700g,해당없음,2018-12-31,2023-08-31
메밀국수_온면,가정식(분석 함량),3152,100g,63,83.9,3.14,0.29,0.64,12.06,0,0.8,9,0.19,27,75,194,11,0,135,0.054,0.023,0,0,0,0,0.12,0,식품의약품안전처,350g,해당없음,2017-12-31,2023-08-31
수제비,가정식(분석 함량),3160,100g,58,85.4,2.31,0.52,0.66,11.08,0,1.1,9,0.2,36,106,142,4,3,13,0.166,0.025,1.329,2.17,0,12.85,0.15,0,식품의약품안전처,650g,해당없음,2018-12-31,2023-08-31
스파게티_미트볼,가정식(분석 함량),3161,100g,180,65.2,7.34,8.88,1,17.62,0.89,2.7,18,0.9,85,174,218,18,11,87,0.228,0.062,0.108,2,0,12.58,1.44,0.03,식품의약품안전처,500g,해당없음,2018-12-31,2023-08-31
우동_일식,가정식(분석 함량),3164,100g,158,64,1.78,3.22,0.56,30.48,0.02,0.8,17,0.3,20,39,157,1,0,13,0.346,0.011,0,0,0,0,0.3,0.04,식품의약품안전처,800g,해당없음,2018-12-31,2023-08-31
우동볶음,가정식(분석 함량),3165,100g,128,69.5,2.8,2.01,0.89,24.79,0.43,2,7,0.19,23,110,257,13,0,160,0,0.027,0,0,0,0,0.49,0.03,식품의약품안전처,300g,해당없음,2017-12-31,2023-08-31
식빵,가정식(분석 함량),2100,100g,264,35.2,9.34,2.6,1.97,50.91,1.56,3.5,219,0.76,117,129,468,11,10,8,0,0.2,0,0.11,0,5.57,1.47,0.11,식품의약품안전처,100g,해당없음,2019-12-31,2023-08-31
초코소라빵,가정식(분석 함량),2105,100g,319,32.9,3.29,10.93,1.09,51.76,9.29,2.1,67,1.23,101,182,215,22,20,23,0.043,0.714,0.929,0,0,19.61,4.34,0.03,식품의약품안전처,70g,해당없음,2018-12-31,2023-08-31
츄러스,가정식(분석 함량),2106,100g,361,22.7,6.6,11.29,1.24,58.17,22.73,3,24,0.59,178,64,363,0,0,0,0,0.014,0,0,0,0,2.44,0.19,식품의약품안전처,70g,해당없음,2017-12-31,2023-08-31
카스텔라,가정식(분석 함량),2109,100g,335,29.9,10.03,11.47,0.56,47.99,33.77,1.3,38,1.46,187,96,63,30,30,0,0.371,0.2,0.171,0,0,211.21,1.14,0.01,식품의약품안전처,70g,해당없음,2019-12-31,2023-08-31
케이크_롤케이크,가정식(분석 함량),2110,100g,312,36.1,7.36,11.83,0.68,44.01,24.64,1.4,32,1.13,140,98,143,24,23,6,0.28,0.22,0.57,0.57,0,142.59,1.82,0.03,식품의약품안전처,100g,해당없음,2019-12-31,2023-08-31
케이크_생크림케이크,가정식(분석 함량),2110,100g,237,55.7,3.45,12.54,0.68,27.62,14.49,1.1,42,0.58,131,106,151,27,27,5,0,0.08,0.22,1.75,0,70.1,8.52,0.08,식품의약품안전처,100g,해당없음,2019-12-31,2023-08-31
크로와상,가정식(분석 함량),2111,100g,446,20.6,7.52,26.98,1.55,43.31,6.1,2.3,37,0.8,133,111,457,17,13,37,0,0.24,0,0,0,24.5,9.75,0.27,식품의약품안전처,150g,해당없음,2019-12-31,2023-08-31
파이/만주_사과파이,가정식(분석 함량),2116,100g,185,57.9,2.54,3.91,0.84,34.83,7.11,2.3,20,0.43,169,94,204,16,15,16,0,0.02,1.98,0.1,0,14.39,1.95,0.17,식품의약품안전처,100g,해당없음,2019-12-31,2023-08-31
페이스트리,가정식(분석 함량),2118,100g,466,19.3,8.31,29.66,1.27,41.5,6.43,2.1,20,0.46,88,102,373,154,147,77,0.243,0.114,0,0,0,36.34,15.31,0.2,식품의약품안전처,70g,해당없음,2018-12-31,2023-08-31
피자_콤비네이션피자,가정식(분석 함량),2120,100g,274,47.4,10.68,14.36,2.02,25.54,4.85,2.6,141,0.63,180,214,441,46,39,83,0.045,0.14,0.575,0.43,0,21.16,3.84,0.08,식품의약품안전처,200g,해당없음,2019-12-31,2023-08-31
피자빵,가정식(분석 함량),2121,100g,298,42.1,8.85,15.05,2.25,31.76,8.11,2.2,96,0.87,163,164,637,35,25,118,0.345,0.1,0,0,0,45.6,4.92,0.25,식품의약품안전처,200g,해당없음,2017-12-31,2023-08-31
